TL,TM,TR,ML,MM,MR,BL,BM,BR,CLASS
1,1,1,1,2,2,1,2,2,win
1,1,1,1,2,2,2,1,2,win
1,1,1,1,2,2,2,2,1,win
1,1,1,1,2,2,2,0,0,win
1,1,1,1,2,2,0,2,0,win
1,1,1,1,2,2,0,0,2,win
1,1,1,1,2,0,2,2,0,win
1,1,1,1,2,0,2,0,2,win
1,1,1,1,2,0,0,2,2,win
1,1,1,1,0,2,2,2,0,win
1,1,1,1,0,2,2,0,2,win
1,1,1,1,0,2,0,2,2,win
1,1,1,2,1,2,1,2,2,win
1,1,1,2,1,2,2,1,2,win
1,1,1,2,1,2,2,2,1,win
1,1,1,2,1,2,2,0,0,win
1,1,1,2,1,2,0,2,0,win
1,1,1,2,1,2,0,0,2,win
1,1,1,2,1,0,2,2,0,win
1,1,1,2,1,0,2,0,2,win
1,1,1,2,1,0,0,2,2,win
1,1,1,2,2,1,1,2,2,win
1,1,1,2,2,1,2,1,2,win
1,1,1,2,2,1,2,2,1,win
1,1,1,2,2,1,2,0,0,win
1,1,1,2,2,1,0,2,0,win
1,1,1,2,2,1,0,0,2,win
1,1,1,2,2,0,1,2,0,win
1,1,1,2,2,0,1,0,2,win
1,1,1,2,2,0,2,1,0,win
1,1,1,2,2,0,2,0,1,win
1,1,1,2,2,0,0,1,2,win
1,1,1,2,2,0,0,2,1,win
1,1,1,2,2,0,0,0,0,win
1,1,1,2,0,1,2,2,0,win
1,1,1,2,0,1,2,0,2,win
1,1,1,2,0,1,0,2,2,win
1,1,1,2,0,2,1,2,0,win
1,1,1,2,0,2,1,0,2,win
1,1,1,2,0,2,2,1,0,win
1,1,1,2,0,2,2,0,1,win
1,1,1,2,0,2,0,1,2,win
1,1,1,2,0,2,0,2,1,win
1,1,1,2,0,2,0,0,0,win
1,1,1,2,0,0,1,2,2,win
1,1,1,2,0,0,2,1,2,win
1,1,1,2,0,0,2,2,1,win
1,1,1,2,0,0,2,0,0,win
1,1,1,2,0,0,0,2,0,win
1,1,1,2,0,0,0,0,2,win
1,1,1,0,1,2,2,2,0,win
1,1,1,0,1,2,2,0,2,win
1,1,1,0,1,2,0,2,2,win
